,Produto,Preço,Desconto,Categoria
0,"Ventoinha Rise Mode, 120mm, Preto - RM-BK-01-FB",6.99,-30%,Coller
1,"Ventoinha Rise Mode, 120mm, Branco - RM-FN-01-BW",10.99,-31%,Coller
2,"Water Cooler Rise Mode Gamer Black, RGB, 240mm, AMD/Intel, Preto - RM-WCB-02-RGB",179.99,-33%,Coller
3,"Kit Com 3 Ventoinhas Rise Mode Energy, 120mm, ARGB, Preto - FN-02-RGB-5V",79.99,-19%,Coller
4,"Pasta Térmica Rise Mode Silver Frost, 5g, Cinza - RM-TG-01-FRT",10.99,-44%,Coller
5,"Ventoinha Rise Mode Black, 80mm, Preto - RM-BK-02-FB",4.99,-50%,Coller
6,"Kit Com 5 Ventoinhas Rise Mode Crystal Sound, 120mm, ARGB, Transparente - RM-CS-02-ARGB",109.99,-31%,Coller
7,"Air Cooler Rise Mode Gamer G800, RGB, AMD/Intel, 90mm, Preto - RM-AC-O8-RGB",64.99,-18%,Coller
8,"Kit com 3 Ventoinhas Rise Mode X, 120mm, Led ARGB, Preto - RM-XLD-01-ARGB",39.99,-33%,Coller
9,"Ventoinha Rise Mode, 120mm, Azul - RM-FN-01-BB",8.99,-30%,Coller
10,"Ventoinha Rise Mode Hex Turbine PWM, 120mm, ARGB, Preto - RM-H-ARGB-TOR-B",29.99,-39%,Coller
11,"Pasta Térmica Rise Mode Silver Cold, 5g, Cinza - RM-TG-01-CLD",10.99,-38%,Coller
12,"Water Cooler Rise Mode, ARGB, 240mm, AMD/Intel, Preto - RM-WCB-04-ARGB",229.99,-23%,Coller
13,Controladora Gamer Para Cooler Rise Mode PWM e ARGB Hub - RM-COPW-ARGB,28.99,-41%,Coller
14,"Kit Com 3 Ventoinhas Rise Mode, 120mm, RGB, Preto - RM-FN-02-RGB",84.99,-39%,Coller
15,"Ventoinha Rise Mode Wind W1, 120mm, LED Branco, Preto - RM-WN-01-BW",10.99,-15%,Coller
16,"Ventoinha Rise Mode Galaxy Motherboard, 120mm, ARGB, Preto - RM-MB-01-5V",29.99,-14%,Coller
17,"Kit Com 3 Ventoinhas Rise Mode Aura Pro Black, ARGB, 120mm, Preto - RM-AUB-02-ARGB",99.99,-16%,Coller
18,"Water Cooler Rise Mode, RGB, 360mm, AMD/Intel, Preto - RM-WCB-03-RGB",399.98,-22%,Coller
19,"Kit Com 3 Ventoinhas Rise Mode, 120mm, RGB Aura, Preto - RM-AU-02-RGB",84.99,-33%,Coller
20,"Ventoinha Rise Mode Wind, Rainbow, 120mm, Preto - RM-WN-02-RGB",10.99,-23%,Coller
21,"Water Cooler Gamer Rise Mode, 240mm, AMD/Intel, Preto - RM-WC-AB-240",199.99,-35%,Coller
22,"Ventoinha Rise Mode, 120mm Vermelho RM-FN-01-BR",9.99,-37%,Coller
23,"Air Cooler Rise Mode Z2 Pro, AMD/Intel, 92mm, Preto - RM-AC-Z2PRO",25.99,-42%,Coller
24,"Kit com 3 Ventoinhas Rise Mode X, 120mm, Led ARGB, Branco - RM-XLD-02-ARGB",49.99,-31%,Coller
25,"Ventoinha Rise Mode Wind W1, 120mm, LED Vermelho, Preto - RM-WN-01-BR",7.99,-7%,Coller
26,"Kit Com 3 Ventoinhas Rise Mode Aura frost Pro, 120mm, ARGB, Branco - RM-CF-02-ARGB",109.99,-24%,Coller
27,"Water Cooler Rise Mode Aura Ice Black, ARGB, 360mm, AMD/Intel, Preto - RM-WAIB-06-ARGB",389.99,-64%,Coller
28,"Air Cooler Gamer Rise Mode Z5, LED Rainbow, AMD/Intel, 90mm, Preto - RM-ACZ-Z5-RGB",37.99,-23%,Coller
29,"Pasta Térmica Rise Mode Silver Cold, 10w, 5g, Cinza - RM-TG-10-CLD",17.99,-33%,Coller
30,"Water Cooler Rise Mode Z 240 Frost, RGB, 240mm, AMD/Intel, Branco - RM WCZ 02 RGB",229.99,-22%,Coller
31,"Ventoinha Rise Mode Smart, RGB, 120mm, Preto - RM-FC-05-12V",19.99,-40%,Coller
32,"Water Cooler Rise Mode ARGB, 360mm, AMD/Intel, Preto - RM-WCB-07-ARGB",349.99,-39%,Coller
33,"Water Cooler Corsair H150 RGB, 360mm, AMD/Intel, Preto - CW-9060054-WW",729.99,-30%,Coller
34,"Ventoinha Rise Mode Galaxy, Rainbow, 120mm, Preto - RM-FRM-02-RGB",13.99,-15%,Coller
35,"Ventoinha Rise Mode Aura Pro, 120mm, ARGB, Preto - RM-AU-ARGB-B",29.99,-33%,Coller
36,Controladora Gamer Para Cooler Rise Mode PWM e RGB Hub - RM-COPW-RGB,29.99,,Coller
37,"Kit Com 3 Ventoinhas Rise Mode Laser, 120mm, ARGB, Preto - RM-RGB-05-5V",89.99,,Coller
38,"Ventoinha Rise Mode Wind W1, 120mm, LED Azul, Preto - RM-WN-01-BB",10.99,,Coller
39,"Ventoinha Rise Mode Galaxy Motherboard, 120mm, RGB, Preto - RM-MB-01-12V",19.99,,Coller
